,mention,class
43098,заказала 44 большеват надобыло 42.а так впринципе не плохой,neautral
23440," Качество ужасное , и размер маленький , даже на щиколотку не натянула , а изнутри ощущения что мешок из под картошки , тянется , Кстати, так же ",negative
30810,Воротник не тот,neautral
78704,отлично,positive
48780,"К материалу нет притензий, Но на спине полоска ткани идёт криво!",neautral
40853,"долго шла футболка, качество не очень хорошее, приятное к телу, но не дышащее, по размеру соответствует описанию, сидит хорошо",neautral
18213,"заказ был сделан в мае. сегодня конец октября., посылка так и не пришла",negative
63708,толстовка очень нравится. пришла быстро. запаха нет. заказ отслеживался. нитки не торчат. довольна,positive
69693,"Хороший топ, но жаль с размером прогадала",positive
71586,очень круто!,positive
24155,"Сам боди хороший, качество, кружево , пошив - все супер ! По размеру тоже все хорошо! НО едкий запах уксуса от боди ...Перечеркнул все плюсы! Так же заказала у данного продавца 2 в разных цветах, неужели нельзя было положить оба в один пакет ? Жду теперь в чёрном цвете. ",negative
52184,не понятно где плечи. ..дорого для такой кофты,neautral
34567,нифега не толстовка на зиму.обычная кофточка тоненькая.,neautral
10264,"Качество отвратительное!  Жена заказывала САМЫЙ МАЛЕНЬКИЙ размер, а в итоге они висят и не облегают! Жена очень расстроилась (((",negative
79648,отличные лосины !,positive
50790,Короткие рукава,neautral
40044,Кофта без дырок для пуговиц. Пуговицы есть дырок нет,neautral
71441,"приятный материал, на 46 размер брала xl - как раз. рисунок мельче, чем на фото.",positive
71926,норм труселя,positive
3533,"ÐÐ°Ð¹ÐºÑ Ð¶Ð´Ð°Ð»Ð° 2,5  Ð¼ÐµÑÑÑÐ°. Ð¾ÑÐµÐ½Ñ Ð¶Ð°Ð»Ñ ÑÑÐ¾ ÑÐ°Ðº Ð¸ Ð½Ðµ Ð¿ÑÐ¸ÑÐ»Ð°.((( ÐÐµÐ½ÑÐ³Ð¸ Ð¿ÑÐ¾Ð´Ð°Ð²ÐµÑ Ð²ÐµÑÐ½ÑÐ».",negative
16588,"Костюм не понравился. На вид дешёвка, собственно цена соответствует качеству, хотя я считаю 900р за такой костюм много. Юбка просвечивает, кофта торчит, на плечах сидит ужасно. Продавец положил в подарок носки, спасибо приятно, но размером на 5 летнего ребенка. Короче говоря, вся в расстроянных чувствах, жаль потраченное зря бабло. ((((",negative
67207,"Цвет  и материал дешевит, а так нормальная. За 365 р. Пойдёт. ",positive
70854,"Заказывала здесь первый раз и немного переживала, что заказ будет очень долго идти или вообще не придёт. В итоге осталась очень довольна! Комплект просто шикарный и пришёл всего за пару недель. Всем рекомендую этого продавца)",positive
57508,"Костюм хорошего качества, хлопок. Пришёл быстро. Продавец в подарок положил милую резинку для волос. Рекомендую!",positive
132,Так и не дождалась заказа...Через 2 месяца ожидания открыла спор на полный возврат денежных средств...,negative
45604,"Синтетика, липнут, электризуются.  Качество ужасное. Размер большой, цвет соответствует фото (более-менее)",neautral
56508,Заказ пришел очень быстро. Качество очень хорошее. 95% хлопка. Цвета выбраны самые красивые. Продавец очень общительный. В подарок продавец положил резинку для волос. Спасибо за вашу работу. Очень рекомендую. Размер идеально подходит для меня. Мои параметры  90*60*90.,positive
6904,Рукава широкие и короткие и штаны короткие и широкие!,negative
34944,прислали короткие,neautral
18058,позор! заказ не пришел! открыла спор-его закрыли.деньги не вернули.продавец обманщик.,negative
63063,"Заказывали в подарок, не открывали не измеряли",positive
6513,"не понравились тем, что очень широкие снизу, на фотр совсем не так",negative
49173,"рубашка пришла намного светлее, чем на картинке. заказывала только из-за темно-синего цвета, на деле какой-то светлый сизый",neautral
37884,"На очень длинные ноги рассчитаны, у меня чёрная часть заканчивалась уже в той грани где начиналась только юбка. Порвались моментально, резинка как на детских колготках - спереди одна полосочка, а сзади две вообще доставило:) короче одноразовые бесполезные колготки. С продавцом не общалась. Плюс за то, что остальные товары очень порадовали ну и наощупь колготки, кстати, очень приятные за что тоже плюс)",neautral
22341,"Плохие леггинсы, начёса кусками нет. Продавец общаться не стал, на жалобу не отреагировал!",negative
53978,.,neautral
46559,"ткань мягкая, приятная на ощупь, но размео XXL на 48 не очень смотрится",neautral
68826,"Пижама супер! Пришла в точности как на картинке) На 46 размер , рост 165 xxl в самый раз ) Доставили курьером, что для меня просто идеально) Спасибо!!!",positive
52251,Ждала 2 месяца! Причём трек писал что шапка застряла в Латвии!!! Выставила спор... и о чудо! Она пришла через неделю... вообщем за это -2 звезды!Качество как на картинке!В целом продавцу спасибо!,neautral
82989,"Цвет платья отличается от фото , а так - прекрасное платье ",positive
50420,"заказала на свой 42-44 (S)  
на размер больше M
она оказалась впритык
желетка своих денег не стоит.
максимум 600рублей
пришла быстро ,чуть больше двух недель,посылка отслеживалась на всем пути",neautral
16278,"Прод обманул, когда через пару недель после оформления заказа я поняла, что трек не отслеживается, то написала продавцу с просьбой объяснить, все от в порядке. И он заверил, что да, это временно не отслеживается товар, хотя даже и не отправил мне его. По итогу просто зря потраченное время, спор, возврат денег. И сообщение продавца, что теперь-то на складе есть мой размер, заказывай ещё раз. Нет, спасибо, обманщиков не терплю ",negative
20163,"Размер М очень маленький,как на ребёнка 10 лет, рисунок не пропорционален,размер шорт и майки меньше намного,чем на фото",negative
9230,Заказ так и не пришол ))) Продавец хамло . Не заказывайте у него ,negative
61069,"Очень красивый костюм! Удобный , сшит на отлично. Швы все ровные. Запах отсутствует. Продавец очень общительный.. сначала хотела заказать на размер больше, попросила продавца выслать точные размеры.. он все делал очень оперативно.. в общем заказала 28.12, и уже 10.01 мне его доставили домой! Довольна до ушей! Всем рекомендую этого продавца! Ставлю 10 звёзд и за костюм и продавцу!!!",positive
47013,-,neautral
67586,"Товар пришел в течении месяца! На 44 размер заказала м,немного тесновато,но не критично,качество хорошее!",positive
80883,"Замечательная куртка, чуть великовата, но смотрится хорошо, все швы прошиты. Пришла быстро.",positive
44988,"Если честно то я не особо привередливая, но то что пришло мне не понравилось! Во первых это и джинсовой то с натяжкой можно назвать, во вторых сходства с заявленной юбкой есть, но это даже не 90%, короче цена и качество не соответствует и мне очень жаль! Ещё есть ооочень противный запах, но с ним я думаю справиться стирка!  Итог: Продавца рекомендую, отправил правда не сразу, а за день до конка срока отправки , но юбка пришла ооочень быстро. А вот сам товар рекомендовать не стану, решайте сами!",neautral
35840,"Размер был заказан L (хотя ношу европейский М),  но L оказался очень маленьким. Даже на М не тянет((",neautral
75975,"Доставка быстрая, трек не отслеживался. Блузки качественные, за  свою цену очень хорошо)",positive
66789,Шикарно смотрится и сидит. Материал полиэстер но комфортен к телу,positive
68450,"Конечно, это не свитер. Тонкая, просвечивающая синтетика. Просто боди для дома. Тянется в ширину, даже больше,чем заявлены параметры. Но вот в длину... На рост 175 впритык. А в целом, задумка не плохая.",positive
39659,В целом брюки неплохие. Но длина штанин не соответствует размерной сетке. Короче на 5см. Носить можно  только с длинными сапогами. Очень расстроена.,neautral
29275,"Так себе штаны, если бы не шли в комплекте с пальто(отдельно оно стоило дороже),  то не посмотрела бы на них даже. Короткие на рост 167,  очень тонкие. Зато хорошо тянутся. На коротконогих и толстоногих.",neautral
82102,"Неплохие колготки из приятного материала,цвет соответствует заявленному,пришло за месяц.
Рекомендую",positive
42777,"заказ не пришёл, вернули деньги.  продавец общительный",neautral
55462,"Заказ шел около месяца. ткань качественная, цвет, как на фото.",positive
70580,"заказ дошел быстро,отслеживался.но размер на 48 маловат-xl.надо было брать xl.
цвет хороший ткань тоже.не угадал с размером",positive
59675,"Спасибо классная рубашка и хорошее качество , ребёнок рад ",positive
54002,"в принципе для своих денег нормальный топ, но почитав отзывы, что он маломерит, решила заказать М, топ большой. надо ушивать.  и очень долго шёл заказ!",neautral
8432,"Кофта совершенно не похожа на кофту на фото. Она может и сшита неплохо, но напоминает выцветшую тряпку. Деньги вернули.
На 42-44 стоит брать размер м, а не л",negative
15320,Товар не получила. Вернули деньги,negative
23328,сшито очень плохо,negative
49231,Рисунок разный . Швы не ровные . Нитки торчат. С пятнышком . ,neautral
10705,не пришли,negative
48333,"Хз,жене понравилось,мне нет,какое то бесформенное,толстит,подмышки висят,за блестки что ли покупают",neautral
74395,"28 размер на ОБ 92 и ОТ 68 чуть-чуть большиват, но с ремешком отлично. В длине все супер.",positive
16896,товар не пришел и не отслеживался. деньги не вернули. не советую связываться с этим продавцом.,negative
66102,Этот товар я приобрел с расширением Megabonus и сэкономил уже 1.87 $. Расширение Megabonus помогает экономить до 40% от стоимости покупки на AliExpress.,positive
10507,качество г...синтетика,negative
467,"прошито неплохо, но после первой же стирки весь синтепон сбился...",negative
131,"Брал рубашку для мамы, размер выбирал xxxxxl(5xl), пришла рубашка размера xs. Даже жене моей малая, она носит 42 размер.",negative
15081,"Ну, начнём с того, что это и близко не джинсы. 
1)Во-первых когда идёшь на сгибе ноги (в колене) чувствуется дискомфорт. Ткань отпружинивает ногу в прямое состояние.
2) Во-вторых в районе попы ткань собирается очень сильно.
В общем цена такому товару от силы рублей 300-400. + ждала 2 месяца. 2 месяца, Карл...",negative
71199,"Получила через пол месяца, ну что хочу сказать, девочки ростом выше 170 пролетают))) М садится на 46 В обтяг, просаечивает, но если взять больше то спадёт.для дома прекрасно.",positive
55890,"Вполне симпатично, синтетика конечно. ",positive
16753,"Товар не пришёл, деньги вернули, это единственное, что понравилось.",negative
65237,"Я с нетерпением ждала ее! Когда она пришла - не знала себя от счастья! Огромное спасибо продавцу, ставлю 5 звёзд
Прочитав отзывы решила заказать на свой размер S - М-ку и не прогадала",positive
47083,"товар так и не пришел, но деньги вернули",neautral
79604,"заказ не отслеживался, но пришел быстро",positive
12495,Товар не пришёл!спор не успела открыть,negative
71756,"Nice,thanks",positive
65785,"Классные, высокие , ткань хорошая плотная ,доставка 2 недели",positive
11103,"Товар не пришёл!!!! Открыла спор, деньги не вернули!!!!! Товар был получен в другом городе неизвестно кем. Спасибо продавцу за отзывчивость и честность",negative
72477,"футболка - бомба! и цвет и качество на высоте! на 90х70 взяла М, но если нужно в обтяг, то можно S брать. Футболка один в один как на фото - пошита аккуратно, видно, что фабрика скорее всего. нет ни запаха неприятного, ни ниток торчащих. Трэк отслеживался, доставка быстрая. Однозначно советую и продавца и товар. Молодец продавец! Спасибо большое ",positive
48646,Для тех у кого единичка или двоечка(((,neautral
13093,Посылку на почте потеряли. Деньги не вернули ,negative
43952,"Ношу размер S-M. Заказала M. Рукава в притык, очень короткая. В итоге отдала сестре. Заказывайте на 2, а то и на 3 размера больше. Немного разочаровалась, ибо ждала больше месяца в МО. По итогу отдала сестре. Она вроде довольна. Продавец хороший. ",neautral
65025,Юбка очень красивая.По размеру подошла идеально.Спасибо продавцу.,positive
34401,качество твои так себе..просвечивается...,neautral
26812,"я разочарована, совсем не то что на фото! и в названии это свитер, а по факту это кофта. на свитер это совсем не тянет.",negative
13632,"Платье пришло быстро, но очень растроило качество, Не знаю как другие пишут,  что качество на высоте. Это кошмар, сложилось ощющение, что платье шили сразу после заказа на скорую руку, швы не ровные, горловина растянута, на боку не захватили край, там дырка. Качество ткани плохое, кажется  даже, что рукав выкроен из другой ткани, но что меня больше всего убило, как сделаны люверсы, они не продублированны, ткань тонкая и у меня сразу вылезли две штуки. В общем одно растройство (.  И я вот думаю, то ли мне не повезло,  или с вами девочки (кто пишет что пошито безупречно) что то не так.",negative
70106,Ок,positive
67375,Соответствует описанию. Хорошо на рост 174 xl,positive
79196,"Отличные шорты, качественные. Брала М, что бы было свободно",positive
73309,"Хороший)) Приятный на ощупь)) Есть небольшой запах, но это не страшно)",positive
27758,"белые пришли вместе с черными и красными в одном пакете. качество у труселей хорошее, но белые покрасились от красных! неприятно...",neautral
4040,"Здравствуйте,заказ пришел быстро,но размер не подошел и замок расходиться",negative
29488,"Почитала суперские отзывы об этом платье и решила заказать. Ну во-первых, лично мое платье сшито очень криво, спереди длиннее, чем сзади; во-вторых, на рост 168, расширение приходится прямо на бока чуть ниже талии, т.е. получаются ""уши"" и это полнит визуально. Короче, не очень я довольна заказом.",neautral
56073,Цвет приходит совсем другой!,positive
60888,"Отличная мягкая,приятная кофточка.",positive
47800,"Швы плохо обработаны. Нитки торчат , Все липнет . Ожидала большего.",neautral
63562,"Футболка отличная! Качество супер, пришлась по размеру) ткань хлопок, мягкая, приятная) трек отслеживался, посылка пришла за 3 недели в Геленджик ",positive
74039,"Товар хороший. Пришёл быстро - около двух недель. Цвет более немного отличается от фото. Скорее пыльная роза, чем «поросячий»)) качество хорошее. Швы ровные, нитки не торчат. Заказом очень довольна, буду заказывать другие цвета. ",positive
75863,"Свитер приятный к телу, хотя и синтетика (бирок нет, но и так ясно).
Размер в самый раз, по фигуре на 46 русский. 
Впечатление: больше походит на толстую водолазку.
Свитер длинной до бедер. Картинке не соответствует.
Но буду носить с удовольствием. Такой тоже в гардеробе пригодится.
Доставили быстро. Спасибо продавцу.",positive
6371,продавец вместо кофты отправил мне юбку! это какая-то наркомания,negative
50984,"заказала вторую куртку и того же размера что и первую, первая подошла идеально, а вот эта маломерит, очень жаль, один размер двух курток, а результаты разные (((",neautral
23845,"Маечка пришла быстро,месяц до рнд,не отслеживалась.Качество ужасное,сшито все криво и косо!Лямки очень короткие,а сама майка широкая и короткая. Даже дома стыдно носить!!!",negative
80348,"Заказ пришел в течении трех недель. Колготками довольна. Приятные к телу, без запаха. Большое спасибо продавцу.",positive
41854,качество не очень.материал дешевый.,neautral
790,"Ткань бракованная , не покупайте этот товар ",negative
5582,"товар не получен, завис в Латвии. Открыла спор но толку нет , шлют в электронку все на английском. Деньги на ветер. Не советую!",negative
71306,"хорошая хлопковая футболка, очень быстрая доставка",positive
17329,"Пришёл на размер меньше, а так красивый",negative
23389,"Не берите пальто - спустя пару недель носки уже начали появляться катышки. Крючок был оторван. Цвет намного темнее, такой грязно-бежевый.",negative
25282,"я не получила заказ, и возврата средств",negative
3653,"открыла спор ,мне не вернули и копейки!",negative
33817,"очень плохо прошиты лямочки, торчат нитки",neautral
16347,Заказывала в августе. До сих пор ничего не пришло!!!,negative
66784,"заказ шел почти месяц до Мо,доставка курьером.на об 100-M сели хорошо т.к. тянутся.Спосибо)))",positive
14812,"Очень быстрая доставка! Спасибо продавцу! до Ростова-на-Дону заказ доставлен меньше, чем за две недели! качество изделия отличное! 
НО!! При том, что размер ""one size"" - пройма у ночной сорочки, которая не должна стеснять движений, сидеть комфортно​, она (пройма) настолько маленькая, что сорочка комфортно будет сидеть только на худенькой девочке 44 (российского) размера. У меня 48 российский размер. Пройма просто ""впивается"" в подмышки! и это при том, что рукав - реглан! 
Очень жаль, но спать в ней невозможно. нужно или перешивать, или кому-то подарить.",negative
81646,"Пришла за месяц.С небольшой дыркой 0,5 на 0,5 см.Но даже если зашить,будет не очень заметно.Но впечатление подпортилось",positive
17306,"Сама куртка хорошая. Рукава не пустые, а внутри уплонитель! Но! Продавец сплошной кошмар! Отправлял товар 8! дней! Затем куртка висела без информации неделю! Продавец кормит завтраками и нормального ответа дать не может! Низкая оценка за крайне паршивого продавца! ",negative
50941,"Лосины пришли с браком на серёдыше,пришлось заливать вручную.За это три звезды",neautral
13193,"Не пришли, какой раз заказываю, так и не высылают...деньги вернули в очередной раз",negative
33902,Долгая доставка,neautral
36156,"Сам по себе сарафан хороший и материал, и качество пошива, и фасон, но размер не совпадает: значительно меньше заявленного (3XL не больше рос. 48 и то не свободно)",neautral
59907,"Спасибо продавцу. Заказала 25 августа. Курьер доставил 29 сентября. Качество хорошее. Водолазки тонкие, но не просвечивающие. Нитки не торчат. Запаха нет. Все отлично",positive
38885,"Рукава короткие,какие-то белые нитки на свитере. доставка быстрая,но продовец не общительный.",neautral
45857,Товар пришёл быстро. Размер оказался больше в 2 раза. Платье висит как мешок. Просвечивает.,neautral
4546,"товар не пришёл, когда я открыла спор продавец попросил спор закрыть и пообещал что через 15-20 дней посылка прийдет. посылка так и не пришла.",negative
43912,"Ткань комбинезона была указана -лён, а я получила комбинезон сшитый из полиэстера.",neautral
16084,"Ждала почти три месяца, товар так и не пришел. ",negative
23040,"Заказ пришел очень быстро. Ткань ужасная , голая синтетика, . Ужас 100 рублей красная цена.  Картинка не соответствует . Единственное подошел по размеру. ",negative
45732,"Материал вроде не плохой ,но минус в том что короткая кофта пришла ещё с дыркой на воротнике чем очень не довальна ",neautral
64940,"Не знаю как поведёт себя после стирки кофта, но сейчас я ей оочень довольна!!безумно мягкая и приятная к телу. Есть небольшой запах,но думаю после стирки исчезнет. Немного прогадала с размером,можно было взять на размер меньше. Но это не критично!спасибо продавцу большое!думаю ещё закажу)в другом цвете ",positive
24843,х*ево рукава ШиРоЧеНыЕ,negative
75203,"Ждали больше 3 месяцев, так и не пришли, после спора вернули деньги. ",positive
79844,хорошая кофта. на бюст 85. брала м.,positive
53334,"товар не соответствует описанию. на самом деле платье белое, и очень большое. по длине-почти до колена",neautral
27993,ооооочень долгаяяяя доставкаааа,neautral
53142,пришли меньшего размера и не на флисе,neautral
38866,Размер не соответствует. Большие. Мех тонковат.,neautral
47616,"Качество мне не понравилось , свитер пришёл с дырками и пятном на рукаве , для светлого цвета это фатально, носить не буду. ",neautral
26679,отправили и доставили быстро! лепится очень хорошо! но грудь не держит совсем!,negative
39641,"маломерят,торчат нитки,кое где есть дырки на гипере.",neautral
46780,кардиган не соответствует вашей размерной таблици!!!!,neautral
10239,"""one size fits all"" is a lie. it's 165/88A on the label. that's a UK size 10.",negative
24450,"Получила совсем не то что заказала. Упаковка была раскрыта и закончена скотчем. Не могу точно сказать транспортная ли компания поменила вещи или продавец ошибся. Но получила какое то Г...но. Поэтому однозначно открою спор, пусть магазинам разбирается кто виноват. Всем рекомендую выбирать почту , а не транспортную компанию.",negative
59259,"Спасибо продавцу, доставили до Красноярска быстро, товар отслеживался, качество вещей очень хорошее, кофточка сидит супер, с подкладом, не просвечивает",positive
61309,Порадовал цвет и размер подошел. Но есть брак сзади на штанах,positive
77220,"Платье отличное! На мой рост 162, обхват груди 91, ОТ 66, ОБ 90 подошёл размер М. Его посоветовал продавец. Вообще ношу S.",positive
1859,"заказала, все отслеживалось но не пришло... деньги вернули. очень печально что не пришло. описание отличное у товара.",negative
59892,"Супер!!! Отличная ткань,хорошо сшито,ни одной торчащей ниточки,размер подошёл L на 94-78-102 Огромное спасибо продавцу!",positive
47049,"Качество нормально. А вот шло ооочень долго , куртка не плохая , все равно рекомендую, но оценки снизила !",neautral
49853,товар я не получил   деньги вернули,neautral
23394,"Кошмар, отврат. Уже несколько раз заказывала и все нормально, а это кофта пришла рваная. Больше точно заказывать не буду.",negative
71002,Как на картинке,positive
79629,Он крутой!!!! Супер!!! Спасибо ,positive
2568,"куртка грязноватая, поравана, швы расходятся,торчат нитки",negative
9975,"товар так и не пришёл, деньги вернули",negative
44873,"попросила продавца отправить товар побыстрее, в свою очередь он якобы выполнил просьбу и дал трек номер,который в дальнейшем оказался не моим. на спор ответил в последний день,до этого убеждал,что это системная ошибка. в итоге деньги вернули,поэтому 3 звезды.",neautral
14387,"заказ автоматически закрылся, как выполненный, а посылка гуляет где-то по шереметьево уже пол месяца. надеюсь, дойдет все-таки. неприятно.",negative
75209,"халат хороший, НО ЭТО НЕ ХЛОПОК! Пошито качественно. за неверную информацию продавца о состава ткани, мне вернули деньги 959,62 , после спора. до этого заказывала халат у другого продавца, для мужа серого цвета, вот там реально 100% хлопок, халат тяжелее, воротник подварачивается, если сравнивать с розовым халатом, то там воротника нет, имитация. розовый легче и ткань совсем другая.",positive
28051,"На рост 164 см очень короткие! Больше как капри, а не штаны",neautral
35444,"Верх маленький,низ хорошо,в общем цена равносильна товару",neautral
78250,спасибо,positive
53843,"заказала XL на размер 42-44,свитер оказался впритык и короткий",neautral
17808,"платье никак на картинке,по размеру не подошло,но за такую цену всё простительно.",negative
7837,Слишком короткая длина для роста 166 сантиметров. Шуршат как наждачная бумага.,negative
78458,Мягкие хорошо тянутся. Берите на 1 размер побольше,positive
53272,"Цвет не соответствует картинке, нитки везде торчат, карман один с серой подкладкой а другой с зеленой жуть, мех убогий у моей кошки красивее... не понятна за что хвалили в отзывох польто... очень дешевый вид в магазине я бы за пол цены даже не купила. не советую а там думайте сами.",neautral
63410,У меня размер S. Но эта жилетка размера L и она мне подошла.,positive
6088,"Отвратительный сервис. Костюм не плохой за эти деньги, если бы не косяки. Сначала я обнаружила выдернутую и порванную нить спереди на пуловере (не вытянутая петля, а порвана нить), о чем я тут же сообщила продавцу, он предложил мне обратиться за помощью к спец-там по вязанию!! Не долго думая, я открыла спор, на возмещение 700р, пожалела продавца! Буквально через 1-2 дня обнаружила ещё больший косяк на брючине сзади это производственный брак, там просто куча ниток свалены в кучу и мотаются. Решила изменить спор, а он уже был закрыт. Обратилась в службу поддержки, а мне посоветовали уладить этот момент с продавцом. Я ему написала, скинула все фото, но он, видимо, обиделся  не отвечает. Так что имейте ввиду, что внимательно осматривайте вещь, а если у вас не высокий рейтинг покупателя, возврата средств не ждите",negative
19284,"Просто пипец! Товар не пришёл! Продавец закрыл спор!!! Отправил сначала мою покупку в другой город, после двух месяцев ожидания предложил повторно отправить товар. Я согласилась. Ещё через месяц ожидания продавец пишет мне, что товар доставлен на почту. На почте товар я не получила. ( все мои пожелания продавцу не здесь, заочно))))",negative
46045,"качество хорошее. доставка до ло 3 недели.
нооооо
4xl = максимум 48",neautral
5457,"куртка пришла в нитках, прорези для пуговиц отсутствовали, был неприятный запах.На возврат средств никто не отреагировал.",negative
69235,супер,positive
32589,Юбки только на размер s! И это очень жаль! ,neautral
54789,"Посылка не дошла, видимо, сказалась отличная работа почты России. Но продавец оказался добросовестным, вернул деньги. Спасибо)  Рекомендую.",positive
66770,Трусы хорошего качества. Нитки не торчат. Неприятного запаха нет. Цвета яркие как на картинке. На ОБ 92 размер L подошел хорошо. К сожалению модель трусов мне лично не подошла. В остальном рекомендую.,positive
25912,"заказ не пришёл, открыла спор, вернули деньги в полном объёме, жаль...",negative
41867,товар не пришел. деньги вернули при открытии спора,neautral
71267,"Очень классные водолазки !!! Заказала две, красную и белую, боялась что рукава малы будут, оказалось хорошо)) мой рост 165",positive
25209,Вместо S прислали M. Деньги вернули,negative
61698,"очень ждала эти джинсы и не зря! просто восторг, закажу еще черные попозже) на об 92 размер Л отлично, длина на рост 172 тоже хорошо подошла! ткань приятная, не пылесос, цвет очень красивый! в общем то что и хотела",positive
30790,"Заказ не пришел, деньги вернули только по результатам спора",neautral
80243,"качество хорошее, но пришли с браком!",positive
31876,можно было на размер меньше заказать по совету продавца заказала на свои параметры 3 хл большевато.((отправлял очень дольго,neautral
54617,"Очень медленная доставка, очень! Заказала в середине августа, пришло в середине октября, когда уже пуховики надо носить. По качеству нормально ",neautral
16420,"это ужасно. хуже заказа у меня ещё не было. это синтетика на все 200%, даже блестит, как пластмасса. на спине оказался след от рисунка на рукаве. после замачивания ( не стирки) этот след отмылся, но сошла и красная наклейка, как кожа змеи.",negative
58150,"Отличная шапка. Красивая и очень теплая! К качеству абсолютно никаких претензий. Доставка в Сибирь была чуть больше двух недель. Советую и шапку, и продавца :)",positive
37445,"Размер отправили не тот, который был заказан(",neautral
473,"распашонка. на улицу не оденешь, только в качестве ночной сорочки.",negative
79435,все как в описании..,positive
30729,"Платье просто супер, а вот поведение продавца на троечку.",neautral
69261,МЕГА крутой комплект!,positive
23583,"Прождала 3 месяцы, товар так и не пришёл!!! Деньги вернули!!!",negative
66542,"товар соответствует описанию, размерная таблица верная советую",positive
18736,"заказывала 2 кофты одного цвета для парня и себя,отправили разные цвета!",negative
16625,"Заказ не пришёл , продавец вернул деньги ",negative
21163,"заказ не пришол прождала 3 месяца, но продовец в течение 3 днеи вернул деньги .",negative
45842,"Ткань не хлопок, а шелк. Пошив качественный, однако не соответствует размерам. на 48 рус взяла ХL не влезло совсем. а так платье симпатичное.",neautral
