,feedback,mark
6525,"и 5 минут не держится на груди, сразу отклеивается",negative
43196,"очень долгая отправка, товар стал не нужен",neautral
34857,качество не очень ,neautral
22127,товар не пришел. спор не успела открыть.,negative
22039,"Товар не соответсвует картинке.Очень маленького размера и качество не очень.Много торчащих нитей,электризуется.",negative
68273,"куртка очень тонкая явно не зима. с продавцом общалась,посоветовал размер L. но в рукавах коротковата.",positive
33113,"Куртка хоршая, шла месяц,есть запах, но это временно. Пришла в целости и сохранности, но только разрезала дырки для пуговиц и пуговица отвалилась.",neautral
10088,"Товар пришёл, но совершенно не соответствовал описанию ",negative
17789,Товар не пришол.В Алиэкспресс никогда и ничего заказывать не буду!,negative
50863,"Немного не то, что я ожидала. слишком широкий для такой длины.",neautral
79401,"брали 11.11с купоном вышло 26 р.продавец быстро и честно отправил заказ,ещё и в подарок милую резинку для волос положил!!от куртки в восторге!швы ровные,нитки не торчат,кнопки держаться крепко!слегка просчитались с размером,но с теплым свитером будет нормально!спасибо! рекомендую!!надежный магазин!!!",positive
25992,"Товар не пришёл,а продавец не отвечает.Окей,спасибо. ",negative
67665,Жаль брала за 1700 лох это судьба,positive
54910,"доставка больше месяца курьером , классная , но на об 90 и от 66 размер s велик",positive
35969,"На свой рост 175 взяла xl,верх хорошо,а вот низ подкачал-на бедрах хорошо,но вот длина...это скорее ближе к бриджам! придется немного подшивать,чтобы по-человечески смотрелось!!! Так что если рост не большой,то вполне сойдет за брюки.",neautral
81660,"все ок на 52 ОГ 102 подошло,кароче чем на фото",positive
18986,белые полосы после стирки покрасились стали розовые. очень жаль.,negative
12710,размерная таблица продавца не верна. заказывайте на размер больше. по спору деньги из-за несоответствия размера не вернули,negative
44111,Синтетика тряскучая. За 150-200руб можно в тц и хлопковую купить.,neautral
30614,"Продавец отправил просто ОГРОМНЕЙШУЮ майку, перепутав размер (мне нужен был самый маленький). Рисунок плотный, но зубы не прокрасили (но, судя по отзывам, так на всех майках, жаль, что до заказа не заметила). Ну и он в целом в других оттенках выполнен. Пучок ниток торчит спереди на рукаве. Но зато упаковали хорошо. Ставлю 3 звезды, самая моя неудачная покупка на али",neautral
768,"Разочарование. Ластовица оказалась огромной и синтетической, настоящий развивающийся парус между ног :-/ весь вид из за этого испорчен, ленточки были распущены, пришлось самой полчаса ковыряться, чтобы их вдеть с малюсенькие ушки, одеваются туго, трещат так как не тянутся, кажется вот вот кружева поползут. задумка клевая, а выполнено ужасно(",negative
54193,я ещё не получила заказ ошибочно отметила как мне быть,neautral
73799,заказ пришел за 8 дней в пензенскую область. всем довольна. спасибо продавцу буду заказывать еще),positive
8136,"Не знаю как назвать данного продавца, кроме как отвратительно!
Я сделала заказ 14.07.2017г.
Заказа не было я написала продавцу 17.08.2017г. что так мол и так заказа нет вы его отправили? На что меня заверили что заказ в пути , ждите
Ждала ждала - пишу что скоро уже закрытие, осталось 7 дней , а товара все еще нет. На что я получаю ответ, что времени много товар к вам придет.
14,09,2017 открыла спор, на возврат денег, меня убеждали усиленно подождать, типо товар в пути, и не портить им репутацию спором. В итоге 20.09,2017г. они согласились на возврат денег.
Ну сегодня уже 06.10.2017г. ни денег ни товара, и нет надежды что я что нибудь из этого получу.

Ни кому не советую покупать в данном магазине",negative
42250,"платье пришло не того цвета,какого закаэывала.размер не подошёл,мало.",neautral
40642,верх большеват а низ короток пока не понятно как носить ахнет хлоркой,neautral
69888,"Блузка очень качественная, цвет  нежный, ткань хлопок. Шовчики ровные, аккуратные. Ребёнку очень понравилась. Спасибо продавцу! На всём протяжении посылка отслеживалась, при поступлении на почту получили СМС о доставке.Будем заказывать ещё.",positive
10603,товар так и не пришел,negative
42919,"Узкая. Блин, просто не подошел размер. Грудь 89 см, талия 68. Рост 164. И по размерной сетке ориентировалась и по отзывам, но узко и все тут(( Узко в груди и плечах. Очень обидно

Дошло быстро, в Поволжье за 12 дней",neautral
41313,"Заказывала голубую с белым а она не голубая а зеленая. Не люблю этот оттенок. на свой 44 взяла L, села хорошо, не узко, в меру свободна. Качество хорошее. Сшита аккуратно. Рукава хорошей длины.",neautral
32081,"майка очень маленькая, обтянула и коротка, мне кажется такие майки должны быть великоваты",neautral
80902,"Хорошая милая кофточка, облегает, тонкая, но не просвечивает, с изнанки только нитки торчат",positive
77974,товар не пришел но продавец честный вернул деньги,positive
52780,"начну с хорошего. продавец отправил товар очень быстро и пришла посылка довольно быстро,трек отслеживался. дальше-качество меня не устроило за такие деньги. на вытычках нитки расползаются и сшито не очень аккуратно. синтетика. придется отдавать в ателье доделывать. поэтому для меня лишь три звезды.",neautral
50056,"Доставка в разумные сроки. Но товар очень плохого качества. Материал тонкий, как на капроновых колготках, сильно просвечивает. Швы все кривые, кругом торчат нитки. Ну и в добавок ко всему посередине бедра грязное пятно, которое так и не удалось отстирать. В общем на фото всё видно. Даже за такую цену - выброшенные деньги. ((((",neautral
51175,не по размеру,neautral
81163,Классные :) ,positive
76717,"отличная кофта за такие деньги , мягкая)",positive
60996,"Отличные джинсы тёплые и мягкие. Строчки ровные, нитки не торчат. Ехали около 2 недель в Новосибирск. Запаха нет, трек полностью отслеживаемая. Думаю заказать ещё одни другого цвета. Спасибо продавцу!",positive
24788,"Я так и не получила товар
Посылка не отслеживается",negative
46946,доставка быстрая 14 дней.кофта тонкая синтетика.не порадовала меня.,neautral
60457,"Отличный свитер, очень мягкий, рукава 3/4 фонариком, приятный к телу, доставка - месяц. ",positive
58822,"рукава и спина более тонкая ткань причем не очень то и качественная, п4ред более плотная фактурная с римунком. маломерит на размер вместо s получается  xs .",positive
15589,"Продавец посоветовал ххл, оказался маленький и качество плохое",negative
5993,"Добрый день! Материал ужас!!! Из такого материала шьют фартуки для продавцов в буфете или уборщиц. На рост 170, как сказал герой фильма «голая правда»: «чуть прикрывает пушок!»",negative
10004,"товар не пришёл, деньги продавец не отправляет, на смс не отвечает.Ужас",negative
64794,отличные трксики! но очень маломерят :-(. надо брать на 2 размера больше своего,positive
22658,отвратительно. товар.хоть продавец клялся и божился.но так и не пришел. жду денег после спора. категорически нет,negative
64812,Очень быстрая доставка и очень хорошее качество,positive
17957,"Посылка потерялась где-то, не пришла",negative
39939,"разменная линейка не совпадает.на
 52 рус заказала 5 xl еле налез.просвечивает, но ткань приятная",neautral
23390,"Так и не получил посылку.Как оказалось потом продавец отправил посылку на другой адрес,даже в другой город.Но уверял,что ошибся трек номером.В итоге продавец дал другой трек номер,перед этим опять ошибся, сообщив не верный трек номер....в итоге....потом дал верный трек,который плохо отслеживался,пришлось открывать спор.",negative
46259,"Качество для такой цены не плохое, но маломерка. Узкая и пуговицы пришиты криво.",neautral
71012,"рубашка очень быстро приехала. отправка молниеносная. только оплатила, через полчаса уже отправили. молодцы. ткань приятненькая синтетика.  вышивка очень красивая. соответствует размерной сетке. дочка довольна.",positive
47689,"Продавец отправил быстро и быстро пришла куртка,трек отслеживался, но  пришла куртка с дефектом. Под капюшоном кривая прострочка, видна большая складка и поэтому тянет материал верхний на плече. И куртка не соответствует описанию. Мех на куртке грязно коричневый а не светлый. как показано на фото,поэтому смотрится ужасно!",neautral
47050,"ожидала большего...заказ шел быстро, но ткань это разочарование...ткань тянется и из за этого юбка приобрела форму бочка... заказом недовольна.",neautral
45536,Полоски и Цыфра наклейки ,neautral
42046,не стоит этих денег.вязка спереди скручивается в трубочки.ремешок топорщится.нет скобочки куда куда спрятать хвостик ремешка.короче разочарована.и долгая доставка.,neautral
44882,"Качество ткани ужасное , да и тканью это не назовешь....  Этого стоило ожидать за эти деньги!)",neautral
83093,юбочка хорошая только цвет не бирюзовый а голубой,positive
41490,Товар затерялся и не пришел. Но продавец вернул деньги. Продавца рекомендую.,neautral
38122,мне не очень.материал очень дешево стоит и какой то пошив неудобный.,neautral
75083,"Супер юбочка, буду брать еще других цветов, спасибо !",positive
43217,посылка не пришла увы. продавцу спасибо за отзывчивость. деньги вернули быстро.,neautral
29206,"размер подошел, отправили очень быстро, но на фото не видно, что горошины ярко-розовые",neautral
32699,"Чистая синтетика, цена топу максимум 150р. Качество могло быть и лучше. Очень много ниток, ладно внутри, но снаружи накосячили с горловиной. Рисунок яркий и хороший. Было б качество по лучше, вообще топик замечательный был, а так на али есть и по лучше. К отправке притензий нет - быстро отправил продавец и быстро пришло.",neautral
72169,хорошее,positive
2821,Короткие рукава и низ !,negative
30363,Размер для S слишком велик.,neautral
8429,"к сожалению футболка так и не пришла,  заказывала дочке,  открыла спор,  подтвердили возврат денег,  но пока ещё не вернули.",negative
11697,Топик плохого качества. 200 рублей на ветер. Не советую ,negative
173,It had come damaged.,negative
25164,посылка так и не пришла. но открыв  спор сразу вернули деньги через несколько часов. очень жаль хотела себе пожарок на день рождение(((,negative
51221,ппппппппппппполддддд,neautral
55896,"отличная юбка , сидит хорошо . На лето в
 самый раз!",positive
46919,это платье на тёток  с большmой попой. а может у меня не те параметры.98/68/98 и то на бедрах как буд-то уши появились:)заказала xl.мой разиер 48,neautral
50457,пальто большемерит.замеры по пальто-бюст 108см.талия 90см.,neautral
20009,"jacket is very thin! in the description it is stated that it is winter, but it's demi-season! it's not fair. I'm upset .",negative
31506,"Здравствуйте. Заказ получила. К качеству ткани и пошиву претензий нет. Все отлично!Но модель не соответствует фото.На фото брюки заужены к низу.А те, что я получила даже расширены к низу,ширина в сложенном виде 22 см. К тому же короткие, всего 101 см",neautral
74719,"У меня бедра 46,заказывала размер L,размер подошёл,но трусики заниженные.",positive
41106,"размер икэль велико на мой 46_48.  трек не отслеживался,товар пришел за три недели в мо",neautral
68660,"Прекрасный топ, не просвечивает ",positive
65498,Очень понравились) буду заказывать ещё),positive
53863,"Рубашка симпатичная, похожа на лен или хлопок. После стирки (в теплой воде) села, пришлось отдать.",neautral
41455,заказала брюки 3хл о.т 82 от.б 100  рост 172 как л совсем маленькие и короткие как Капри .,neautral
49873,классная блузка. все как на фото. правда шло долго.  рекомендую.,neautral
39796,"Очень тонкая, размер не подошёл ",neautral
64747,все отлично. доставка 20 дней с учётом праздников. Советую.,positive
60715,"Все отлично, размер подошел. Доставка две с половиной недели до Твери",positive
67161,"Заказываю уже в третий раз, просто хочется разных цветов. Отличные лифчики, нигде не давит и не жмёт, очень быстрая доставка, приятный продавец!) Следует только учитывать, что в объеме большемерки, т.е. заказывать на размер меньше. Я ношу 90, заказываю 85 и всё отлично.)) В этот раз заказала в желтом цвете, пришел не ярко-жёлтый как в выборе цвета,как я думала, а слегка желтоватый. Лифчики отличные, продавца рекомендую!)",positive
69852,"Доставка в Москву 3 недели. Товар соответствует картинке и описанию. На рост 170 ОБ 92 ОТ 63 заказывала размер М. Подошло отлично! Хорошее качество, без дефектов и запаха! Плотные, но тянутся. Довольна!",positive
69628,"При обхвате груди 91 см взяла размер М - сел как влитой. Все бы ничего, но мою чуствительную кожу раздражает вставка на задней части, что доставляет дискомфорт. Также отмечу странные вставки, которые всякий раз при надевании надо устанавливать в правильное положение. А так смотрится вполне ничего",positive
26434,"качество товара на 2. юбка очень тонкая.прозрачная. подкладки нет.и пришла с браком.Дырка внизу юбки.очень электризуеться. резинка на поясе никакая.даже не держит.это даже не резинка, а просто пришитая ткань.",negative
56456,"Очень хорошая водолазка! Пошита аккуратно, нитки не торчат, к телу очень приятная)",positive
34464,Как простыня очень очень тонкая и прозрачная,neautral
33870,Просвечивают очень сильно. Сами по себе красивые.,neautral
20167,"халат короткий,размер не соответствует заявленному",negative
74295,"Очень классная блузка! Качественная ткань, необычный крой - очень хорошо смотрится!!!! Размер XL подошел на 48, рост 164. Я очень довольна!!!!",positive
15362,доставка нормальная качество тоже хорошее но брак  два пятна белые не прокрашеные жаль  больше не буду заказывать у этого продовца мне не повезло,negative
29988,"На свой S-M, взяла М, бомбер оказался мал. Рукава очень короткие.  Маломерит. Не знаю, как и носить сейчас.",neautral
45525,"Заказ пришёл не в полном объёме . Заказала две пары брюк , пришли одни . Деньги вернули . Растроилась , так как брюки очень хорошего качества ",neautral
3047,брак,negative
69662,"Моя любовь ) очень мягкая, тёплая, уютная куртка) без дефектов)  ",positive
16783,Не довольна заказом. Описание товара продавцом не соответствует действительности. Размер совсем детский. Носить не буду. Качество не плохое.  Поставила  две звезды только из за  лукавства продавца. ,negative
26716,Товар не получен. Наверно перепутали трек ,negative
78932,красивое платье.. спасибо..,positive
42762,материал ужасный. обычный сентипон.,neautral
42743,"Оооочень неаккуратная опушка капюшона, виден целый пласт материала, на котором закреплен мех - полный провал. Местами пуховик сидит кривовато.",neautral
41346,Большой размер.Подошла мужу на 62 размер головы.,neautral
63464,на 48 р l впритык. качество хорошее.,positive
37612,"Очень жаль, заказ не пришёл, но деньги вернули.",neautral
62962,"хорошие колготки, внутри утепленные. больше синтетики чем хлопка. тянутся хорошо. к качеству претензий нет",positive
29225,"Леги красивые, но есть не состыковки принта и одна штанина длиннее другой, отнесли в отелье подшивать ",neautral
52398,по качеству вроде ничего. резинка на поясе не особо тянется и это самый большой размер. не подошло. (брала не себе),neautral
144,Так и не пришли ,negative
732,"Dress is so-so, nothing unusual, I recommend order a size larger, looks very tight.
I really DON'T like the seller, because he couldn't send the dress very long time, DIDN'T answer my messages and DIDN'T want to give my money back. I DON'T recomend this seller.

Платье так себе, ничего необычного, советую заказывать на размер больше, а то очень обтягивает.
Очень НЕ понравился продавец, очень долго не отправлял товар, Не отвечал на сообщения и отклонял возможность вернуть деньги. Не советую у него заказывать.",negative
24023,"Блузка так и не пришла.  Хоть деньги и
 вернули. В статусе написано,  заказ выполнен. Жаль, столько времени ждала.",negative
64192,"отличная кофта!!!!! сиди безупречно, качество хорошее, брала на 44 р",positive
35837,"На юбке были желтые пятна и две черные точки. После стирки пятен не осталось, а черные точки полностью не отстирались.",neautral
38894,заказала у продавца 5 кофт 3 из них пришли с зацепками. Продавец никак не отвечал.,neautral
72549,"I secured the order, everything is good.",positive
38666,Синтетика и сильно просвечивается,neautral
74960,до москвы месяц! я в восторге...это типо экокожа но лучше...тянется и в длинну и ширину! плотные и очень удобные в носке! рост 170 обхват талии 70 попы 96...заказала L и прям как раз! тут такие стоят 1500р...заказала за 500р и я счастлива! это оч качественные и удобные легенсы!,positive
60044,"В Питер пришли за месяц. Запаха нет. Цвет и фасон как на картинке, пошив фабричный. На размер ОТ88/ОБ116 точно по размеру, не спадают и не врезаются, очень комфортно, ткань тянется, но смотрятся не так свободно как на модели, скорее плотно по фигуре, за счет дополнительных боковых складок-защипов чуть похожи на бойфренды по силуэту. На рост 175 см конечно короткие, выше щиколотки на 3-5 см, сзади нижний край брюк подшит эластичной черной резинкой, наверное, чтобы на любую полноты ноги налезало.",positive
54465,"Куртка так себе. Если честно, не о чем. Торчат нитки. На 48 xxl в притык. Пух лезит. Куртка не зимняя. Не для наших холодов. Носить ее можно дай бог до 0градусов.",neautral
63799,"Спасибо) тёплые и мягкие носочки! заказала 12/09 пришли 06/10 до Новосибирска . Все отслуживалось, продавец разговорчивый. ",positive
56110,все отлично..но очень долгая доставка.,positive
22695,"товар не пришёл, денег так и не вернули. не
 советую продавца, он обманывает",negative
69213,"Рубашечка отличная, на 44-46 ,взяла L",positive
811,I wait 2 week before sending!!!!!!,negative
69054,"Колготки супер. ОБ 100, рост 176 - отлично. И доставка быстрая. Спасибо!",positive
46327,"отличаются от фото, тонкие, не лосины а колготки..",neautral
39500,товар не пришел. деньги вернули,neautral
8567,"Цвет абсолютно другой, на фото бежевый и золото, в итоге зеленый. На мою претензию продавец ответил, что это от того, что я смотрю дома,  на солнце цвет такой как на модели - это смешно. пуховик двухсторонний, но не думаю, что его реально можно носить блестящей стороной, карманы сшиты ужасно. в целом это осенний пуховик, никак ни зимний, в - 10 холодно!!! разочарована. И сзади воротника нет:/ вырез V образный на спине",negative
4790,"рубашка 5xl на размер максимум 52, обидно брала маме,ждала долго вышли все сроки, вернули деньги за спор качество не плохое. 
рукава узкие.",negative
48349,могло быть и лучше. короткая .  неправильно пошили .,neautral
66529,"Неплохие шорты. Все соответствует описанию, поэтому заказом довольна. Спасибо продавцу!!! Соответствует российскому размеру 46-48.",positive
51805,Короткие ,neautral
78710,"Супер, дочь довольна,  на русский 44 - L само то.",positive
30483,"не то,что ожидала....жаль",neautral
34565,Долго ждала. -  не пришел(  Просила продавца отправить  снова. Не отправил(((,neautral
49350,Качество конечно ужасное. Стоит своих денег,neautral
61034,"Платье хорошего качества.Очень удобное. Заказала на размер больше,получилось как раз. Доставили очень быстро.",positive
63221,"Всё  ок, только  долго  шёл  заказ",positive
36,Увы( товар отличается от товара предлагаемого сайтом.,negative
55096,"Кофта какого-то невероятно идеального качества )) я бы никогда не заподозрила , что она с Али) мой рост - 169, размер s, села хорошо , но носить лучше с высокими штанами . Я супер довольна заказом!",positive
70437,"Очень приличное качество!! Я довольна, как слон!)))",positive
15146,Товар не пришёл ,negative
34962,"Качество, даже за такую цену, ужасно. Цвет не соответствует описанию(бежевый), шли долго по размеру совпадают.",neautral
50329,"Синтепон скомкался это единственный минус,  а так фасон понравился",neautral
69098,"Крутой шарф! Очень тёплый, несмотря на то, что тонкий. Мне очень понравился. Спасибо))",positive
82438,"Кофта норм,но рукава оказались чуть чуть короткими и кофта вроде маленькая не очень удобно,просвечивает заказала L на рост 164",positive
79508,доставка 15 дней. кофта супер.,positive
23716,"Пришла рваная! Очень расстроилась, по размеру нормально ногу S но почитав комментарии взяла М и не прогадала, пришло быстро где-то ща 2 недели. Но дырочки меня очень смутили!",negative
58165,"топ хороший,сшит из тонкого хлопка на свой р.48-50 взяла L",positive
39756,"Футболка из тонкого хлопка, просвечивается. Края изделия не обработаны. Хотя цена соответствует качеству.",neautral
67520,Немного маломерит. ,positive
81475,"Ну что ж начнём. На свой привычный S я заказала M, и думаю, что не прогадала: иначе блузка была просто коротка. Заказ оплатила 15, и вот вуаля 29 мне уже приходит Sms. Это не первый мой заказ, но в этот раз алиэкспресс меня действительно удивил. Продавец очень общительный, всегда уведомлял о стадиях перевозки, рекомендую. Ткань приятная и мягкая, в точности как я и ожидала. В ней совсем не потеется. Из минусов могу назвать только неприятным запах при вскрытии упаковки. Но это не страшно, после стирки, мне кажется, все уйдёт.",positive
23173,качество ужасное! шло 2 месяца! не советую!,negative
37874,"Пальто красивое, но пришло с дырой в молнии. Просила выслать такую же, но продавец настаивал на открытии спора.
Али экспресс предложил либо вернуть товар либо компенсацию 659р.При возврате непонятно, кто оплачивает доставку, к тому же я хотела носить пальто. В ателье выяснилось, что вся молния обрезана, а сверху защита тонкой планкой.",neautral
68873,"Платье хорошего качества, размер в размер ",positive
58047,"Нормальная куртка за такие деньги, были торчащие нитки, в целом неплохо. Доставка быстрая, отправили заказ тоже быстро, продавца рекомендую!",positive
48350,Товар пришёл оперативно. Соответствует описанию. Упаковка добротная. Но с браком. Видимо  уже положили с дырой,neautral
55980,"Отличная рубашка, сочетается с любым низом. Качество хорошее, никаких косяков по пошиву нет. Размер S маловат на параметры 92-63, но не критично, просто М села бы лучше. ",positive
19151,"Платье на худеньких девушек маленького роста (от 154 до 160) Ткань синтетическая,  пошив для такой цены вполне оправдан. Модель оригинальная, но смущает одна деталь-несовпадение с фото",negative
23114,маленький размер,negative
64546,Рубашки очень понравились( заказывала 2 штуки). Хорошее качество товара. Размер 5 xl идет на 54 рус. доставка до М.О. 3 недели. Продавцу спасибо.,positive
19838,"заказал жене XL, хотя она носит L - сильно мало(",negative
27950,Товар пришёл с затяжками! Открыл сор! Деньги вернули,neautral
8849,"пижама пришла с браком. на кокетке дыры, воротник пришит криво, карманы не симметрично пришиты. такое впечатление, что эту пижаму шили в подвале. очень обидно за такое качество товара . покупала в подарок на новый год. теперь можно только ей полы мыть
 заказываю не первый раз, но этот заказ просто ужас.",negative
11568,"не советую продавца , заказ так и не пришел , деньги вернула только через али , продавец продлял защиту 4 месяца , деньги отказался возвращать .",negative
50954,более менее,neautral
75201,"Все отлично ,на свой размер 48-50 заказывала 2 хл можно было закзать3хл. В принципе все устраивает ,очень аккуратно все сшито ,спасибо продавцу.",positive
53498,"Все подошло по размеру , на 44 заказала XXL . Пришло быстро. Качество бы пошива улучшить не мешало, оверложены швы плохо!",neautral
59680,"сегодня 23.11 получила свою посылку. колготки очень хорошие,толстые размер м на 44. Спасибо продавцу.",positive
4699,не пришло. деньги вернули спустя 3 мес,negative
33510,"мятые, были плохо упакованы в обычный пакет.",neautral
80282,Хорошее качество. Спасибо продавцу.,positive
43648,Галимая синтетика. Не стоит своих денег. В магазинах такое висит за 500 рублей.,neautral
11112,"куртка в принципе не плохая, но очень сильно маломерит, вместо 56 размера 48. это очень сильно расстроило.",negative
82317,"отличная водолазка, теплая, приятная к тему, , на рост 159см, вес 45 кг села  отл,рус 40-42 S села идеально, спс, продавцам.  буду еще заказывать эту модель , но др цвета",positive
30092,"Очень симпатичная расцветка и материал хлопок, но во первых размер м соответствует российскому, оказалась большая ((( во вторых, качество пошива ужасное, кривые строчки заметные глазу,короче дёшево и сердито. Хорошо что деньги не большие. Спор открывать не стала решила отдать маме на пошив декоративных подушечек)",neautral
71974,Очень крутой гольф в желтом цвете! Я влюблена! Ссылка на обзор: https://m.itao.com/item/10005801216804,positive
53313,"Подойдет только для оч худеньких девушек. У всех остальных спереди даже близко не сойдется, хотя по спине вроде подходит. Ткань приличная. Цвета как на фото. Нитки немного торчат.",neautral
15068,"все было хорошо,но там было целых 2 дырки,!
ужас какой то!",negative
19574,товар не качественный и вообще я открыла спор и мне не ответили!!!,negative
49259,"чашечка мала для B,носить невозможно.Продавец не вернул деньги.Гавно товар",neautral
31221,"Качество пижамы среднее,  размер футболки большой, шорты маленькие.",neautral
43563,Очень разочарована что ткань светится как старый дуршлаг.  ,neautral
78167,на 44 р. обхват груди 90 см подошла идеально.,positive
12861,Размер не соответствует,negative
6430,"Товар не пришёл,  ждала очень долго.  Деньги вернули через обострение спора, продавец не хотел сам принимать.",negative
8586,"Ужасная майка, цвет не белый, а серо-синий, прошито плохо, на самом видном месте где воротник, не сошлись два шва, торчат нитки! Ткань синтетика 100%!",negative
23515,"пришел товар меньше чем за месяц. Заказала по размерной сетке, но товар оказался огромный. просто парашюты...цвет был заказан белый-пришли грязно серые.",negative
3687,Вместо цвета бордо пришёл ярко красный!!!!!ужас,negative
55800,"приятные на ощупь. мягкие. тонкие, не просвечивают. рекомендую.",positive
51675,"Вообще размерная сетка не соответвует!!! Размер заказала свой м, по сетке параметры совпали, но на деле пришел огромный, длина не растянутого купальника 74см!!!! вместо заявленной 67см. Очень расстроена(((( а так красивый.",neautral
45050,"Первый раз когда заказывала эту модель блузки пришла отлично по размеру 5XL, заказала повторно только другой цвет размер тот-же 5XL ,но блузка оказалась намного меньше хотя на ней стоит размер 5XL",neautral
2820,"Везде поставила единицу т.к. заказ не получен, возврат тоже не произвели.",negative
65336,кофточка прикольная,positive
28718,"Ставлю 3 только потому, что в споре мне вернулась половина стоимости моего заказа и продавец не стал отстаивать, так бы поставила меньше. Моя кофта пришла с отпоротым в одном месте воротником, и криво пошитая. Если первое можно списать на брак, то второе говорит об ужасном качестве пошива. Вещь своих денег не стоит совершенно.",neautral
53329,"Кофта не понравилась, ткань тянется, летняя",neautral
47312,"Очень плохой пошив,везде нитки торчат.По размеру не подошла.",neautral
55135,Очень хорошая футболка. Брала М. Села замечательно. К телу очень приятная. Посмотрим как поведет себя в носке))),positive
22012,Очень маленький размер (((,negative
64385,отличный джемпер!!цвет шикарный!!По размеру отлично!!,positive
54697,"Куртка по размеру, мой 52 и заказывала 52. Сшита хорошо. Но на вид для пенсионерок. Своей заявленной первоначальной цене в 11000 руб. не соответствует совершенно. Купила со скидкой в 2900, так это ее красная цена. Мех на капюшоне искуственный.",neautral
